x,y
0,1.713350180815272e-05
0.3333333333333333,1.917786557649361e-06
0.6666666666666666,1.255208269986418e-05
1,5.154192957049835e-06
1.333333333333333,3.171659009296162e-05
1.666666666666667,2.973243863503205e-05
2,3.234402050085886e-05
2.333333333333333,2.969088484055356e-05
2.666666666666667,2.229272750157258e-05
3,1.099053243432573e-05
3.333333333333333,2.16161258590041e-05
3.666666666666667,1.818500045524372e-05
4,7.85102539678654e-06
4.333333333333333,1.223517011289516e-05
4.666666666666667,2.549074972898936e-05
5,2.395872352816261e-05
5.333333333333333,1.951097552356401e-05
5.666666666666667,1.170457171104049e-05
6,2.965617577354109e-05
6.333333333333333,1.100895121659591e-05
6.666666666666667,1.056915801770112e-05
7,8.8874580725073e-06
7.333333333333333,2.968710820994736e-05
7.666666666666667,2.182076247451573e-05
8,2.089109355709636e-05
8.333333333333334,1.930200775416848e-05
8.666666666666666,2.021051230136402e-06
9,9.000731753429737e-06
9.333333333333334,2.590404452503725e-05
9.666666666666666,1.429165365637526e-05
10,1.462212595735706e-05
10.33333333333333,9.041970085386341e-06
10.66666666666667,2.806294669253447e-05
11,2.455253821748351e-05
11.33333333333333,7.943583169162784e-06
11.66666666666667,2.167555195200955e-06
12,2.141049736838781e-05
12.33333333333333,7.216683337477639e-06
12.66666666666667,2.028950692405367e-05
13,1.808590143010901e-05
13.33333333333333,2.873054331633801e-05
13.66666666666667,1.874872997270912e-05
14,2.251177990877524e-05
14.33333333333333,1.968308536597868e-05
14.66666666666667,3.048365536567447e-05
15,2.735222243516526e-05
15.33333333333333,1.756896029682329e-05
15.66666666666667,1.471986020598294e-05
16,2.572359268607876e-05
16.33333333333333,3.105132027546121e-05
16.66666666666667,1.278355333395143e-05
17,2.305418541833048e-06
17.33333333333333,1.54521795287134e-05
17.66666666666667,1.226804295917476e-05
18,1.80827252496171e-05
18.33333333333333,2.182246957410258e-05
18.66666666666667,1.914818078767671e-05
19,1.127985119465328e-05
19.33333333333333,2.197701484707825e-05
19.66666666666667,1.452451119054981e-05
20,1.030174069599091e-06
20.33333333333333,2.255511254790027e-05
20.66666666666667,4.60245174509801e-06
21,6.075081421457682e-06
21.33333333333333,9.968642653784367e-06
21.66666666666667,1.037579483535499e-05
22,1.194462214242191e-06
22.33333333333333,7.74525987643839e-06
22.66666666666667,8.749466646473955e-06
23,6.616665247273503e-06
23.33333333333333,1.226904517020525e-05
23.66666666666667,1.209122143868584e-05
24,1.197017566602161e-05
24.33333333333333,8.18401762737563e-06
24.66666666666667,1.282825646603031e-05
25,6.876524374582907e-06
25.33333333333333,1.170698065862043e-05
25.66666666666667,1.160657050883631e-05
26,5.928178881638753e-06
26.33333333333333,6.174923046800189e-06
26.66666666666667,2.164878972231755e-05
27,8.455956772566769e-06
27.33333333333333,1.964856382890615e-05
27.66666666666667,1.081557269639268e-05
28,1.385431191122506e-05
28.33333333333333,1.89422277582742e-05
28.66666666666667,2.272496894257297e-05
29,3.558484607087894e-06
29.33333333333333,8.485643820865247e-06
29.66666666666667,6.96406990322781e-06
30,6.285134035406668e-06
30.33333333333333,1.157483417828383e-05
30.66666666666667,8.291382843563186e-06
31,1.096631912113846e-05
31.33333333333333,3.927859886598342e-06
31.66666666666667,7.226469053272926e-06
32,1.693976174327612e-05
32.33333333333334,1.044412193605425e-05
32.66666666666666,1.010866966168059e-05
33,1.138902279794391e-05
33.33333333333334,3.661522374867997e-06
33.66666666666666,3.787617957767929e-06
34,1.195037781114445e-05
34.33333333333334,1.845840467465859e-05
34.66666666666666,5.007172461542117e-06
35,6.011157323041892e-06
35.33333333333334,2.110548766356605e-05
35.66666666666666,5.143778917009335e-06
36,8.863241218627393e-06
36.33333333333334,1.303446847287424e-05
36.66666666666666,7.508224135093477e-06
37,6.869467242958458e-06
37.33333333333334,6.604800644904572e-06
37.66666666666666,9.410243462542171e-06
38,2.199547822094561e-05
38.33333333333334,7.804597085630718e-06
38.66666666666666,1.467149728345763e-05
