x,y
0,1.618703586511872e-05
0.3333333333333333,4.077043438872334e-06
0.6666666666666666,1.745296237170716e-06
1,3.09949597502847e-06
1.333333333333333,8.625304113055245e-06
1.666666666666667,8.28309450549244e-06
2,1.15008090204093e-05
2.333333333333333,4.639400630788931e-06
2.666666666666667,2.293477938596868e-05
3,3.16552005526143e-05
3.333333333333333,4.185028987233829e-05
3.666666666666667,4.033064615258238e-06
4,1.414782796842874e-05
4.333333333333333,3.956009202680461e-06
4.666666666666667,1.782405943569806e-05
5,1.860467856211638e-05
5.333333333333333,1.076676537389982e-05
5.666666666666667,1.007815946718471e-05
6,2.09386160588106e-05
6.333333333333333,2.09710697574969e-05
6.666666666666667,4.803683547495765e-06
7,4.111110187602275e-05
7.333333333333333,3.617587286055082e-05
7.666666666666667,3.150553855246268e-05
8,5.891412800936668e-06
8.333333333333334,1.238492177122513e-05
8.666666666666666,1.240569904472598e-05
9,2.184455564856045e-05
9.333333333333334,8.123247534094322e-06
9.666666666666666,1.854215707830618e-05
10,1.077352910124398e-05
10.33333333333333,1.620410261877523e-05
10.66666666666667,1.119866179454257e-05
11,2.878715563755384e-05
11.33333333333333,1.157940851578372e-05
11.66666666666667,2.000053570821064e-05
12,2.819613491719219e-05
12.33333333333333,1.137086806393883e-05
12.66666666666667,1.603108411045015e-05
13,1.743932601063804e-05
13.33333333333333,1.291536803906221e-05
13.66666666666667,1.615290173569286e-05
14,2.837109324983691e-05
14.33333333333333,8.460108767327293e-06
14.66666666666667,3.227095245325326e-05
15,1.036438018448216e-05
15.33333333333333,9.25150755540853e-06
15.66666666666667,1.014904093782884e-05
16,1.753664299486849e-05
16.33333333333333,4.125881829582767e-05
16.66666666666667,4.026271159034242e-05
17,1.643415890248217e-05
17.33333333333333,6.00383607369168e-06
17.66666666666667,2.354227831986665e-05
18,1.150391528064262e-05
18.33333333333333,1.250107384981541e-05
18.66666666666667,9.51279413516091e-06
19,1.579595416564774e-05
19.33333333333333,1.038637322180894e-05
19.66666666666667,2.796470131587492e-05
20,1.568321642371741e-05
20.33333333333333,2.316930947198317e-05
20.66666666666667,1.338318644175515e-05
21,2.862358920269316e-05
21.33333333333333,4.115203675888895e-06
21.66666666666667,9.769164708378766e-06
22,1.209912581214496e-05
22.33333333333333,1.551992613581465e-05
22.66666666666667,3.707384258411554e-06
23,1.578140557224363e-05
23.33333333333333,1.057285008624857e-05
23.66666666666667,1.533267574853516e-05
24,9.757561598005979e-06
24.33333333333333,2.604646654733778e-06
24.66666666666667,7.109614051259654e-06
25,7.970106225891297e-06
25.33333333333333,5.023153222979387e-06
25.66666666666667,2.951702054405252e-06
26,2.032689446685923e-05
26.33333333333333,1.155214320023938e-05
26.66666666666667,7.565567605125432e-06
27,1.234948764914048e-05
27.33333333333333,1.553069542794481e-05
27.66666666666667,1.491370000038271e-05
28,6.565422202962937e-06
28.33333333333333,1.326205158352678e-05
28.66666666666667,1.837186334080677e-05
29,1.61261003927021e-05
29.33333333333333,1.739403649859178e-05
29.66666666666667,1.282076716461345e-05
30,8.327363979310809e-06
30.33333333333333,2.193849800541963e-05
30.66666666666667,9.15057251719441e-06
31,1.148794567809512e-05
