x,y
0,1.612359980995558e-05
0.3333333333333333,4.041792638026852e-06
0.6666666666666666,7.973893251640166e-06
1,2.470784848895514e-05
1.333333333333333,1.753400703902554e-05
1.666666666666667,1.36757113207803e-05
2,1.879532921300011e-05
2.333333333333333,3.923456486047339e-06
2.666666666666667,2.596505085674942e-06
3,6.226383279838848e-06
3.333333333333333,2.127032742884695e-05
3.666666666666667,2.772501055051572e-05
4,1.830091366165088e-05
4.333333333333333,2.176027686675662e-05
4.666666666666667,1.973363015121054e-05
5,1.065258228708284e-05
5.333333333333333,2.893765036450479e-05
5.666666666666667,2.009810116446345e-06
6,3.769268271580512e-05
6.333333333333333,1.762678053841819e-05
6.666666666666667,4.252071460867068e-06
7,2.508223356723127e-05
7.333333333333333,2.124518246046646e-05
7.666666666666667,1.205190321059971e-05
8,2.810488115325563e-05
8.333333333333334,4.746741916085648e-06
8.666666666666666,1.458992855449169e-05
9,7.671033908893447e-06
9.333333333333334,3.106377684457583e-05
9.666666666666666,5.239104771771098e-06
10,1.713347144523474e-05
10.33333333333333,1.14043490980222e-05
10.66666666666667,2.605135234899543e-05
11,7.874467840725564e-06
11.33333333333333,6.439341863433534e-06
11.66666666666667,4.287482597600192e-05
12,1.440952029398796e-05
12.33333333333333,3.09058110932208e-05
12.66666666666667,1.01637148033976e-05
13,5.761283863273931e-06
13.33333333333333,1.544379174707444e-05
13.66666666666667,9.596048858331156e-06
14,2.196136442922301e-05
14.33333333333333,1.579245645092714e-05
14.66666666666667,6.065209552613439e-06
15,4.993560536666366e-06
15.33333333333333,1.114498126208537e-05
15.66666666666667,1.318409612446941e-05
16,1.957864549572881e-05
16.33333333333333,2.045896674377498e-05
16.66666666666667,3.349349561001149e-05
17,4.784757629249358e-05
17.33333333333333,1.738141324462958e-05
17.66666666666667,1.404247596819467e-05
18,8.115927389051913e-06
18.33333333333333,3.509858026800079e-06
18.66666666666667,7.980557029479308e-06
19,7.20440006508831e-06
19.33333333333333,1.006052804316126e-05
19.66666666666667,1.828556150468502e-05
20,6.90587250292269e-06
20.33333333333333,8.120901499269276e-06
20.66666666666667,2.026740716037761e-05
21,1.0267796748894e-05
21.33333333333333,1.645709070442081e-05
21.66666666666667,6.400848298253529e-06
22,2.052202537807758e-05
22.33333333333333,1.512823613434442e-05
22.66666666666667,7.63525492385074e-06
23,9.251986594996688e-06
23.33333333333333,1.17392892964316e-05
23.66666666666667,7.725992673964982e-06
24,3.903935409074469e-06
24.33333333333333,1.183412709904603e-05
24.66666666666667,1.873810726013183e-05
25,1.159084089064685e-05
25.33333333333333,4.754100094917259e-06
25.66666666666667,1.354412816342207e-05
26,1.98070637693892e-05
26.33333333333333,7.777866485200211e-06
26.66666666666667,9.645974451503204e-06
27,2.046673514318951e-05
27.33333333333333,5.773161209061447e-06
27.66666666666667,8.31687546823408e-06
28,1.03464911114437e-05
28.33333333333333,4.166052494242158e-06
28.66666666666667,2.866805080681294e-05
29,6.516795308199256e-06
29.33333333333333,3.569291213477503e-06
29.66666666666667,3.194436706539711e-06
30,2.541003850732511e-05
30.33333333333333,9.9136333682986e-06
30.66666666666667,8.817077656984876e-06
31,4.31282180758455e-06
31.33333333333333,1.406383211719603e-05
31.66666666666667,7.812945129171148e-06
32,4.475020753861071e-06
32.33333333333334,1.82833430949353e-05
32.66666666666666,3.07054713089299e-05
