x,y
0,1.284730056820273e-05
0.3333333333333333,4.346434804018077e-06
0.6666666666666666,6.687877233307519e-06
1,6.317055573074552e-06
1.333333333333333,8.235898666925401e-06
1.666666666666667,2.42031028753904e-05
2,6.715971319469665e-06
2.333333333333333,1.240272812899318e-05
2.666666666666667,1.645971729660719e-05
3,1.162989865382833e-05
3.333333333333333,2.271566979069976e-05
3.666666666666667,1.733544050960752e-06
4,1.029593359962787e-05
4.333333333333333,7.722624393596693e-06
4.666666666666667,1.806775453226445e-05
5,3.044917086347608e-05
5.333333333333333,1.078867722750351e-05
5.666666666666667,1.257161503001426e-05
6,2.642623762620485e-05
6.333333333333333,1.681260928144775e-05
6.666666666666667,3.148668527920012e-05
7,6.908483215123859e-06
7.333333333333333,1.990320801617709e-05
7.666666666666667,1.312092932881013e-05
8,7.419303111355109e-06
8.333333333333334,1.332052131819439e-05
8.666666666666666,8.041668802546294e-06
9,3.146563966987374e-05
9.333333333333334,2.321788609431624e-05
9.666666666666666,1.90809949335053e-05
10,8.140311353240841e-06
10.33333333333333,1.15290942654898e-05
10.66666666666667,1.324154745443985e-05
11,1.050362381373096e-05
11.33333333333333,3.711449938095225e-06
11.66666666666667,2.694378268985214e-05
12,1.675981579171381e-05
12.33333333333333,1.486850428084582e-05
12.66666666666667,8.907383163578785e-06
13,1.231246895615674e-05
13.33333333333333,7.898466740432502e-06
13.66666666666667,2.103452505236017e-05
14,2.80620382255346e-06
14.33333333333333,8.856094767052679e-06
14.66666666666667,8.677624120330436e-06
15,2.23765003936787e-05
15.33333333333333,1.505097479592879e-05
15.66666666666667,1.161418817320785e-05
16,2.226487511755341e-05
16.33333333333333,1.586872760595184e-05
16.66666666666667,2.117636730828835e-05
17,4.781289273947775e-06
17.33333333333333,2.227137017002576e-05
17.66666666666667,9.022970904085525e-06
18,8.460933438590049e-06
18.33333333333333,8.004786301607967e-06
18.66666666666667,3.096566562502555e-06
19,1.765090704690927e-05
19.33333333333333,6.763284752792403e-06
19.66666666666667,1.62725585750478e-06
20,1.666604955869955e-05
20.33333333333333,1.244769024741144e-05
20.66666666666667,2.013028460580277e-05
21,4.869896556419741e-06
21.33333333333333,5.34369496989737e-06
21.66666666666667,1.859567503769126e-05
22,1.220513855867094e-05
22.33333333333333,1.561800291095197e-05
22.66666666666667,1.227751296123775e-05
23,1.669604793586481e-05
23.33333333333333,2.492542654451972e-05
23.66666666666667,8.571313342199831e-06
24,1.138386489899911e-05
24.33333333333333,1.032043756521383e-05
24.66666666666667,3.03351813077367e-06
25,1.697322402747011e-05
25.33333333333333,4.14519419296164e-06
25.66666666666667,3.423749943058573e-05
26,5.827877282681856e-06
26.33333333333333,1.096853850399013e-05
26.66666666666667,9.885653257982755e-06
27,1.519216713890942e-05
27.33333333333333,1.135620181183155e-05
27.66666666666667,1.290625621429309e-05
28,1.135708350336356e-05
28.33333333333333,1.530579616955575e-05
28.66666666666667,1.036489609977151e-05
29,8.604930454843882e-06
29.33333333333333,5.842314841094444e-06
29.66666666666667,4.42457927435268e-06
30,3.040132895372375e-06
30.33333333333333,1.357140436096407e-05
30.66666666666667,9.526802592850698e-06
31,1.284616528363889e-05
31.33333333333333,4.875008881669009e-06
31.66666666666667,1.079122362485481e-05
32,9.868982698147251e-06
32.33333333333334,1.574477122176434e-05
32.66666666666666,1.525659183338813e-05
33,7.016461382437368e-06
33.33333333333334,1.149553330420243e-05
33.66666666666666,7.412172550912177e-06
34,5.570449107200696e-06
34.33333333333334,8.574480469511446e-06
34.66666666666666,1.913804862539862e-05
35,1.479674816138657e-05
35.33333333333334,1.650979626950279e-05
35.66666666666666,1.035742269094019e-05
36,6.369180171337275e-06
36.33333333333334,9.445109755749667e-06
36.66666666666666,9.400024431590848e-06
37,7.437751051245509e-06
37.33333333333334,6.073366472788381e-06
37.66666666666666,7.108087085677498e-06
38,3.695685611203437e-06
38.33333333333334,1.321339344169655e-05
38.66666666666666,1.369313368058618e-05
39,2.715068779536047e-06
39.33333333333334,8.2629705122866e-06
39.66666666666666,1.212758549162067e-05
40,4.823626690518797e-06
40.33333333333334,1.039773606028329e-05
40.66666666666666,1.089684868756247e-05
41,7.088799119964274e-06
41.33333333333334,8.226541477375753e-06
