x,y
0,1.476699093572136e-05
0.3333333333333333,5.585059768754901e-07
0.6666666666666666,1.241310110560456e-05
1,9.579091856590467e-06
1.333333333333333,1.201305723613566e-05
1.666666666666667,1.984997239402375e-05
2,1.026188385868831e-05
2.333333333333333,1.593894784410237e-05
2.666666666666667,1.776135686624981e-05
3,5.127404533156558e-06
3.333333333333333,6.945140158342671e-06
3.666666666666667,8.223069009978447e-06
4,1.685499489033338e-05
4.333333333333333,2.764867144999441e-05
4.666666666666667,3.564551176995262e-05
5,1.792475667982081e-05
5.333333333333333,1.249111816802875e-05
5.666666666666667,2.452531997765578e-05
6,3.13927616600643e-05
6.333333333333333,1.523490515624688e-05
6.666666666666667,2.540020391031716e-05
7,2.449245005784741e-05
7.333333333333333,1.415556329236677e-05
7.666666666666667,1.633061216117993e-05
8,8.635788887131795e-06
8.333333333333334,1.454407407631419e-05
8.666666666666666,9.867252993932458e-06
9,2.329944969898948e-05
9.333333333333334,1.537995353522516e-05
9.666666666666666,1.051049015081987e-05
10,1.293610078425545e-05
10.33333333333333,1.692855844758515e-05
10.66666666666667,1.193776577873258e-05
11,6.760910989060903e-06
11.33333333333333,2.658772509009602e-06
11.66666666666667,1.391784995770906e-05
12,1.069261383459875e-05
12.33333333333333,5.769672265880543e-06
12.66666666666667,1.739139620423851e-05
13,2.429838457881839e-05
13.33333333333333,1.726523138958196e-05
13.66666666666667,1.260526334131035e-05
14,1.458719149946811e-05
14.33333333333333,2.715556717942061e-05
14.66666666666667,2.19464205888002e-06
15,3.842588661162627e-06
15.33333333333333,3.030246244099654e-06
15.66666666666667,1.989898313143858e-05
16,1.383849923842409e-05
16.33333333333333,6.800574281885306e-06
16.66666666666667,9.732440199378474e-06
17,3.103939851269181e-05
17.33333333333333,2.058430258206113e-05
17.66666666666667,2.509223741424477e-05
18,1.634107161864602e-05
18.33333333333333,2.876521964205201e-05
18.66666666666667,8.605832362415912e-06
19,4.713801770711913e-06
19.33333333333333,1.296909273510783e-05
19.66666666666667,1.876506385277279e-05
20,1.302952144271167e-05
20.33333333333333,7.610251136054669e-06
20.66666666666667,1.586390964184736e-05
21,1.703099167599607e-05
21.33333333333333,1.119082777747678e-05
21.66666666666667,2.966926575853889e-06
22,1.036202773165093e-05
22.33333333333333,1.220964505210306e-05
22.66666666666667,1.137240526329763e-05
23,6.753886871859687e-06
23.33333333333333,1.574397456454872e-05
23.66666666666667,1.197066169207988e-05
24,7.21877398173135e-06
24.33333333333333,6.009010315609568e-06
24.66666666666667,1.079501925452885e-05
25,1.212386352526359e-05
25.33333333333333,8.809066116530743e-06
25.66666666666667,3.924220887383363e-06
26,3.961055445900117e-06
26.33333333333333,6.104750121891485e-06
26.66666666666667,6.937807025676538e-06
27,7.893795851944421e-06
27.33333333333333,6.989351872506173e-06
27.66666666666667,5.115961053116219e-06
28,1.782182555591307e-05
28.33333333333333,2.552328427404626e-06
28.66666666666667,1.925800902201437e-05
29,1.69590832021758e-05
29.33333333333333,3.574404864917887e-06
29.66666666666667,5.811585475817662e-06
30,1.174384015245089e-05
30.33333333333333,3.625751744382386e-06
30.66666666666667,1.05160327337273e-05
31,1.273428585242188e-06
31.33333333333333,1.336441420437208e-05
31.66666666666667,7.748379128553461e-06
32,4.674564243321638e-06
32.33333333333334,9.039995863354276e-06
32.66666666666666,4.902122956159426e-06
33,4.751167544364256e-06
33.33333333333334,2.658259013362837e-05
33.66666666666666,1.051229071988403e-05
34,1.424388173401362e-05
34.33333333333334,1.264301487555187e-05
34.66666666666666,1.082948051290836e-06
35,6.098250077016362e-06
35.33333333333334,6.160597936746229e-06
35.66666666666666,1.833962939969068e-05
36,2.253934974949658e-05
36.33333333333334,1.277472437599373e-05
36.66666666666666,9.547211602522636e-06
37,1.209003889459767e-05
37.33333333333334,9.922841551725037e-06
37.66666666666666,9.573766986707079e-06
38,4.907365115407434e-06
38.33333333333334,1.200688364488889e-05
38.66666666666666,1.233093721606726e-05
39,3.233099630290525e-06
39.33333333333334,1.012296474256516e-05
39.66666666666666,5.012769002105515e-06
40,6.106057428989135e-06
40.33333333333334,5.981901711322432e-06
40.66666666666666,5.564069549987961e-06
41,1.031718210258432e-05
41.33333333333334,3.896293586177251e-06
41.66666666666666,1.273272647693822e-05
42,6.17823003190614e-06
42.33333333333334,8.739814173382425e-06
42.66666666666666,1.516099736996482e-05
43,1.630084993105593e-05
43.33333333333334,3.318424868107715e-06
43.66666666666666,2.448256175169184e-07
44,3.962803915467914e-06
44.33333333333334,1.040975379781398e-05
44.66666666666666,6.934078407409382e-06
45,9.134378278699567e-06
45.33333333333334,9.335925668259202e-06
45.66666666666666,6.164085336366582e-06
46,9.316322891545666e-06
46.33333333333334,1.106400618773297e-06
46.66666666666666,4.423936123275505e-06
47,5.46293880969183e-06
47.33333333333334,2.050129084291911e-05
47.66666666666666,6.398369167558553e-06
48,1.018329023417289e-05
48.33333333333334,1.523697769870035e-05
48.66666666666666,1.042979132679276e-05
49,1.054896289865473e-05
49.33333333333334,2.001474791071582e-06
49.66666666666666,1.218513472083813e-05
50,1.098307704247727e-05
