x,y
0,1.317186249407376e-05
0.3333333333333333,4.002793604695299e-06
0.6666666666666666,1.72966623254615e-06
1,2.272810393217128e-06
1.333333333333333,1.395864446365544e-05
1.666666666666667,8.034593661040768e-06
2,6.136276530967318e-06
2.333333333333333,1.114549128085748e-05
2.666666666666667,1.042966911562172e-05
3,3.420110450255291e-05
3.333333333333333,1.869070797742175e-05
3.666666666666667,7.332136845886356e-06
4,7.020144630191848e-06
4.333333333333333,1.317674299688443e-05
4.666666666666667,1.115060212250624e-05
5,5.078677096002752e-06
5.333333333333333,2.339210959879559e-05
5.666666666666667,1.961415647320095e-05
6,2.501713824573905e-05
6.333333333333333,1.023516856263099e-05
6.666666666666667,9.588364404554719e-06
7,2.659464540627604e-05
7.333333333333333,2.496181942949757e-05
7.666666666666667,1.387104796184954e-05
8,1.250451996665326e-05
8.333333333333334,1.662949023935958e-05
8.666666666666666,9.996076874543188e-06
9,8.172728803287199e-06
9.333333333333334,2.48293980717697e-06
9.666666666666666,2.182486215599334e-05
10,2.956256198956817e-05
10.33333333333333,2.438450781166414e-05
10.66666666666667,1.040243087060776e-05
11,2.382176278215221e-05
11.33333333333333,2.285660118272904e-05
11.66666666666667,2.689044112506672e-05
12,1.85470602660378e-05
12.33333333333333,6.971638693341762e-06
12.66666666666667,1.079294020296626e-05
13,1.60965696673172e-05
13.33333333333333,2.025577226690288e-05
13.66666666666667,9.780556864049254e-06
14,5.706407350069402e-06
14.33333333333333,1.838556739945423e-05
14.66666666666667,1.318756039949459e-05
15,2.412158812080553e-05
15.33333333333333,1.789780200298007e-05
15.66666666666667,1.726687078404355e-05
16,2.569548324417243e-05
16.33333333333333,2.131182390279266e-05
16.66666666666667,1.72438679656496e-05
17,3.433772881151542e-05
17.33333333333333,3.997947947430954e-05
17.66666666666667,2.931033822948749e-05
18,9.310266634491532e-06
18.33333333333333,2.828336293145841e-05
18.66666666666667,1.469585482631368e-05
19,8.015042369688323e-06
19.33333333333333,1.572589540203687e-05
19.66666666666667,1.611593801055391e-05
20,9.916908673890819e-06
20.33333333333333,6.510213940606216e-06
20.66666666666667,2.066005479412614e-05
21,1.290533997285072e-05
21.33333333333333,1.185428019334622e-05
21.66666666666667,8.006583467691081e-06
22,6.854168536260802e-06
22.33333333333333,1.65910805947655e-05
22.66666666666667,1.974479457121092e-05
23,5.713536500126765e-06
23.33333333333333,3.130169541612065e-06
23.66666666666667,2.507475944394199e-06
24,1.019117794941818e-05
24.33333333333333,1.0826850494265e-05
24.66666666666667,6.376112617478372e-06
25,7.902215140197815e-06
25.33333333333333,4.639100351768041e-06
